no;i;t;y;x;z;e;outlier
282;i_0029;t_02;-0.627107938;-1.662629402;0.781189123;0.461886419;FALSE
283;i_0029;t_03;1.128411816;-0.569306344;-2.211078822;0.68387811;FALSE
284;i_0029;t_04;1.274721314;0.635513817;-1.321029186;0.372124094;FALSE
285;i_0029;t_05;0.312183903;0.043722008;-0.729562098;-0.736332896;FALSE
286;i_0029;t_06;0.38574655;0.348012304;1.525613016;-0.616978941;FALSE
287;i_0029;t_07;3.031698686;2.459593549;-1.028092718;0.387811361;FALSE
288;i_0029;t_08;-0.589840727;-0.818380324;-0.661331186;-0.487461347;FALSE
289;i_0029;t_09;-9.904241728;-2.113200115;-1.217867254;-8.307992763;TRUE
290;i_0029;t_10;0.828113097;0.273695272;-1.99615078;0.170676948;FALSE
291;i_0030;t_01;-0.193894796;-0.687596841;1.239769196;0.921730593;FALSE
292;i_0030;t_02;6.997993261;0.446041053;0.498176188;6.557303708;TRUE
293;i_0030;t_03;-0.975319647;-0.812384724;0.437054867;-0.597788426;FALSE
294;i_0030;t_04;1.613941105;2.21205548;0.189133337;-0.286211232;FALSE
295;i_0030;t_05;0.427140808;-0.123705972;0.115264175;0.125038535;FALSE
296;i_0030;t_06;-0.520199079;-0.477335506;0.706874682;-0.118590214;FALSE
297;i_0030;t_07;-0.650556532;-0.166261491;-0.997536707;-0.089602271;FALSE
298;i_0030;t_08;1.036907596;0.862563384;-1.38670419;0.037329814;FALSE
299;i_0030;t_09;-0.10771131;0.097340485;0.089124777;-0.143016399;FALSE
300;i_0030;t_10;-1.892219537;-1.625616739;0.004538881;-0.071357129;FALSE
301;i_0031;t_01;-0.694141858;-0.004620768;-0.584962977;-0.198472008;FALSE
302;i_0031;t_02;0.690136774;0.760242168;0.201977625;-0.001733358;FALSE
303;i_0031;t_03;-5.543290179;0.038990913;0.134868383;-5.95411406;TRUE
304;i_0031;t_04;-0.737599281;0.735072142;-1.598840668;-1.097747744;FALSE
305;i_0031;t_05;0.715205732;-0.146472627;0.549992198;0.498890649;FALSE
306;i_0031;t_06;-0.225995071;-0.057887335;-0.259413531;-0.180813842;TRUE
307;i_0031;t_07;-0.212670772;0.482369466;-1.068051715;-0.237326933;FALSE
308;i_0031;t_08;1.084068865;0.992943637;-0.184487291;0.017131365;FALSE
309;i_0031;t_09;-2.273213228;-1.246395498;-0.568683007;-0.901761799;FALSE
310;i_0031;t_10;-1.842306652;-0.033487525;0.259185384;-1.550552923;FALSE
311;i_0032;t_01;2.990786713;-0.070962181;-0.07210512;3.914012574;TRUE
312;i_0032;t_02;0.151378505;-0.758920654;0.045179867;1.339885792;FALSE
313;i_0032;t_03;0.13048784;-1.034359361;-0.511930941;1.15422883;FALSE
314;i_0032;t_04;-0.399331212;-0.630731954;0.260930551;0.967539018;FALSE
315;i_0032;t_05;0.002693935;0.58680772;0.453277584;-0.585686898;TRUE
316;i_0032;t_06;-0.69756652;-0.416322656;-0.644624235;0.067264627;FALSE
317;i_0032;t_07;-2.870337881;-0.78488781;-2.313001092;-1.266522169;FALSE
318;i_0032;t_08;-0.800402327;0.163416319;-0.149029627;-0.676597912;FALSE
319;i_0032;t_09;-2.36914057;-1.236714235;0.583570494;-0.646155806;FALSE
320;i_0032;t_10;0.28601429;1.045873776;2.39691994;-0.140378685;FALSE
321;i_0033;t_01;-1.134468642;-0.484595416;0.939186873;-0.588088459;FALSE
322;i_0033;t_02;1.332571391;0.189128812;-1.963997319;0.782550298;FALSE
323;i_0033;t_03;7.11800383;0.051006332;1.501378955;6.265900214;TRUE
324;i_0033;t_04;0.800169674;-0.000240669;2.341712012;0.746069706;FALSE
325;i_0033;t_05;2.998090497;1.809382042;1.507306354;0.396656428;FALSE
326;i_0033;t_06;0.022268613;-0.825327957;0.479356988;0.405626148;FALSE
327;i_0033;t_07;0.497217291;1.145470452;-1.070936691;-0.619804172;FALSE
328;i_0033;t_08;1.752140261;0.031573188;-0.638481415;1.217308894;FALSE
329;i_0033;t_09;-0.145153901;-0.835205805;-0.281848715;0.38584352;FALSE
330;i_0033;t_10;0.128289605;-0.068763649;0.951159455;0.026055141;FALSE
331;i_0034;t_01;1.617376834;0.746771687;-0.756849698;1.727920898;TRUE
332;i_0034;t_02;0.046565203;-0.425518734;-0.571168643;0.906722642;FALSE
333;i_0034;t_03;-0.935684139;-0.772082235;-0.916293407;-0.169168204;FALSE
